Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",118.500000,-85.500000,180.000000,top
"C2","10uF","C_0805_2012Metric",118.500000,-87.500000,180.000000,top
"C3","0.1uF","C_0603_1608Metric",129.250000,-97.750000,-90.000000,top
"C4","0.1uF","C_0603_1608Metric",131.000000,-97.750000,-90.000000,top
"C5","47uF","CP_EIA-3528-15_AVX-H",118.500000,-90.500000,180.000000,top
"D1","STAT","LED_0603_1608Metric",116.500000,-99.000000,90.000000,top
"F1","1A","Fuse_0805_2012Metric",122.500000,-89.000000,-90.000000,top
"J1","917-181A202ED60200","USB-A-TH_917-181A202ED60201",125.000000,-79.750000,180.000000,top
"JP1","M0","PinHeader_1x02_P2.54mm_Horizontal",125.750000,-116.500000,180.000000,top
"JP2","M1","PinHeader_1x02_P2.54mm_Horizontal",125.750000,-110.040000,180.000000,top
"R3","1k","R_0603_1608Metric",116.500000,-95.750000,-90.000000,top
"U1","E22-400T30D","COMM-TH_E22-400T30D",125.090000,-102.500000,0.000000,top
"U2","CH340X","MSOP-10_3x3mm_P0.5mm",129.750000,-92.500000,-90.000000,top
